29 3
0 0
1 5e+05
6 3400000
11 6300000
16 9e+06
21 11100000
26 12600000
31 13800000
36 14800000
41 15700000
46 16600000
51 17400000
56 18200000
61 1.9e+07
66 19900000
71 20100000
76 22300000
81 23600000
86 24700000
91 25800000
96 27200000
101 28700000
106 30300000
111 33700000
116 46700000
121 54100000
126 58300000
131 6.1e+07
136 66600000
